artifact_id,artifact_type,path,stage,version,status,visibility,source_event_ids,linked_requirements,linked_work_items,linked_references,linked_assets,gate_status,supersedes_artifact_id,created_at,updated_at,sha256,size_bytes,derived_from_artifact_id,derived_from_sha256,lifecycle_state,original_path,cleanup_ref,removed_at,removal_reason,superseded_by,status_reason
ART-QLO-012,proposal_structure,AD-creative/proposal_architecture/proposal_structure.md,proposal_architecture,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-001;R-QLO-002;R-QLO-005,W-QLO-003,REF-QLO-001;REF-QLO-002;REF-QLO-004,,PASS,,2026-05-13T13:15:00+08:00,2026-05-13T13:25:00+08:00,,,,,,,,,,,
ART-QLO-013,copy_draft,AD-creative/copywriting/message_line_candidates.md,copywriting,v001,internal_review,internal_only,SE-QLO-004,R-QLO-002;R-QLO-009,W-QLO-003,,,PASS,,2026-05-13T13:15:00+08:00,2026-05-13T13:25:00+08:00,,,,,,,,,,,
ART-QLO-014,creative_gate_report,AD-creative/gates/GATE-QLO-CREATIVE-001_report.md,creative,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-002;R-QLO-005;R-QLO-006,W-QLO-003,,,PASS,,2026-05-13T13:25:00+08:00,2026-05-13T13:25:00+08:00,,,,,,,,,,,
ART-QLO-015,image_generation_policy,AD-creative/image_jobs/image_generation_policy.md,visual_plan,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-003;R-QLO-006,W-QLO-004,,,PARTIAL_PASS,,2026-05-13T14:00:00+08:00,2026-05-13T14:05:00+08:00,,,,,,,,,,,
ART-QLO-016,image_prompt_pack,AD-creative/image_jobs/image_prompt_pack.json,visual_plan,v001,ready_internal,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-003;R-QLO-006,W-QLO-004,REF-QLO-001;REF-QLO-004;REF-QLO-005,,PARTIAL_PASS,,2026-05-13T14:00:00+08:00,2026-05-13T14:05:00+08:00,,,,,,,,,,,
ART-QLO-017,visual_plan_gate_report,AD-creative/gates/GATE-QLO-VISUALPLAN-001_report.md,visual_plan,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-003;R-QLO-005;R-QLO-006,W-QLO-004,,,PARTIAL_PASS,,2026-05-13T14:05:00+08:00,2026-05-13T14:05:00+08:00,,,,,,,,,,,
ART-QLO-018,visual_qa_checklist,AD-creative/visual_review/visual_qa_checklist.md,visual_review,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-004;R-QLO-005;R-QLO-006,W-QLO-007,,,PARTIAL_PASS,,2026-05-13T14:20:00+08:00,2026-05-13T14:30:00+08:00,,,,,,,,,,,
ART-QLO-019,visual_review_matrix,AD-creative/visual_review/review_matrix.csv,visual_review,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-004;R-QLO-006,W-QLO-007,,,PARTIAL_PASS,,2026-05-13T14:20:00+08:00,2026-05-13T14:30:00+08:00,,,,,,,,,,,
ART-QLO-020,client_visibility_matrix,AD-creative/visual_review/client_visibility_matrix.csv,visual_review,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-004;R-QLO-008,W-QLO-007,,,PARTIAL_PASS,,2026-05-13T14:20:00+08:00,2026-05-13T14:30:00+08:00,,,,,,,,,,,
ART-QLO-021,visual_review_gate_report,AD-creative/gates/GATE-QLO-VISUALREVIEW-001_report.md,visual_review,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-004;R-QLO-005;R-QLO-006;R-QLO-008,W-QLO-007,,,PARTIAL_PASS,,2026-05-13T14:30:00+08:00,2026-05-13T14:30:00+08:00,,,,,,,,,,,
ART-QLO-022,client_review_outline,AD-creative/client_review/client_review_outline.md,client_review,v001,done,client_visible_pending,SE-QLO-001;SE-QLO-002;SE-QLO-004,R-QLO-001;R-QLO-002;R-QLO-005;R-QLO-008,W-QLO-008,,,PARTIAL_PASS,,2026-05-13T14:40:00+08:00,2026-05-13T14:50:00+08:00,,,,,,,,,,,
ART-QLO-023,slide_spec,AD-creative/client_review/slide_spec.md,ppt_gate,v001,done,internal_only,SE-QLO-001;SE-QLO-002;SE-QLO-004,R-QLO-001;R-QLO-002;R-QLO-005;R-QLO-006;R-QLO-008,W-QLO-008,,,PARTIAL_PASS,,2026-05-13T14:40:00+08:00,2026-05-13T14:50:00+08:00,,,,,,,,,,,
ART-QLO-024,ppt_visual_system,AD-creative/ppt/ppt_visual_system.md,ppt_gate,v001,done,internal_only,SE-QLO-002;SE-QLO-004,R-QLO-001;R-QLO-005,W-QLO-008,,,PARTIAL_PASS,,2026-05-13T14:40:00+08:00,2026-05-13T14:50:00+08:00,,,,,,,,,,,
ART-QLO-025,ppt_editability_check,AD-creative/ppt/ppt_editability_check.md,ppt_gate,v001,done,internal_only,SE-QLO-001;SE-QLO-004,R-QLO-001;R-QLO-004,W-QLO-008,,,PARTIAL_PASS,,2026-05-13T14:45:00+08:00,2026-05-13T14:50:00+08:00,,,,,,,,,,,
ART-QLO-026,ppt_gate_report,AD-creative/gates/GATE-QLO-PPT-001_report.md,ppt_gate,v001,done,internal_only,SE-QLO-001;SE-QLO-004,R-QLO-001;R-QLO-004;R-QLO-008,W-QLO-008,,,PARTIAL_PASS,,2026-05-13T14:50:00+08:00,2026-05-13T14:50:00+08:00,,,,,,,,,,,
ART-QLO-027,feedback_map,AD-creative/feedback/feedback_map.csv,feedback_merge,v001,done,internal_only,SE-QLO-004,R-QLO-002;R-QLO-006;R-QLO-008;R-QLO-009,W-QLO-009,,,PASS,,2026-05-13T14:55:00+08:00,2026-05-13T15:00:00+08:00,,,,,,,,,,,
ART-QLO-028,affected_artifacts,AD-creative/feedback/affected_artifacts.md,feedback_merge,v001,done,internal_only,SE-QLO-004,R-QLO-002;R-QLO-006;R-QLO-008;R-QLO-009,W-QLO-009,,,PASS,,2026-05-13T14:55:00+08:00,2026-05-13T15:00:00+08:00,,,,,,,,,,,
ART-QLO-029,next_version_plan,AD-creative/feedback/next_version_plan.md,feedback_merge,v001,done,internal_only,SE-QLO-004,R-QLO-002;R-QLO-006;R-QLO-008;R-QLO-009,W-QLO-009,,,PASS,,2026-05-13T14:55:00+08:00,2026-05-13T15:00:00+08:00,,,,,,,,,,,
ART-QLO-030,delivery_note,AD-creative/delivery/delivery_note.md,final_delivery,v001,draft,client_visible_pending,SE-QLO-001;SE-QLO-004,R-QLO-001;R-QLO-004;R-QLO-008,W-QLO-010,,,PARTIAL_PASS,,2026-05-13T15:05:00+08:00,2026-05-13T15:10:00+08:00,,,,,,,,,,,
ART-QLO-031,final_gate_report,AD-creative/gates/GATE-QLO-FINAL-001_report.md,final_delivery,v001,done,internal_only,SE-QLO-001;SE-QLO-004,R-QLO-001;R-QLO-004;R-QLO-008,W-QLO-010,,,PARTIAL_PASS,,2026-05-13T15:10:00+08:00,2026-05-13T15:10:00+08:00,,,,,,,,,,,
ART-QLO-032,skill_opportunities,AD-creative/skill_drafts/skill_opportunities.csv,skill_mining,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-004;R-QLO-005;R-QLO-006,W-QLO-011,,,PASS,,2026-05-13T15:15:00+08:00,2026-05-13T15:25:00+08:00,,,,,,,,,,,
ART-QLO-033,skill_draft,AD-creative/skill_drafts/ad-visual-review-gate/SKILL.md,skill_mining,v001,draft,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-004;R-QLO-005;R-QLO-006,W-QLO-011,,,PASS,,2026-05-13T15:20:00+08:00,2026-05-13T15:25:00+08:00,,,,,,,,,,,
ART-QLO-034,skill_evidence,AD-creative/skill_drafts/ad-visual-review-gate/evidence.md,skill_mining,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-004;R-QLO-005;R-QLO-006,W-QLO-011,,,PASS,,2026-05-13T15:20:00+08:00,2026-05-13T15:25:00+08:00,,,,,,,,,,,
ART-QLO-035,skill_install_request,AD-creative/skill_drafts/ad-visual-review-gate/install_request.md,skill_mining,v001,not_requested,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-004;R-QLO-005;R-QLO-006,W-QLO-011,,,PASS,,2026-05-13T15:20:00+08:00,2026-05-13T15:25:00+08:00,,,,,,,,,,,
ART-QLO-036,skill_mining_gate_report,AD-creative/gates/GATE-QLO-SKILL-001_report.md,skill_mining,v001,done,internal_only,SE-QLO-004;SE-QLO-005,R-QLO-004;R-QLO-005;R-QLO-006,W-QLO-011,,,PASS,,2026-05-13T15:25:00+08:00,2026-05-13T15:25:00+08:00,,,,,,,,,,,
ART-AUTO-CLIENT-PACK-GATE,client_pack_gate_report,AD-creative/gates/GATE-AUTO-CLIENT-PACK-001_report.md,final_delivery,v001,done,internal_only,,,,,,PASS,,2026-05-22T19:26:03+08:00,2026-05-22T19:26:03+08:00,,,,,,,,,,,
ART-AUTO-PPTX,pptx,AD-creative/ppt/client_review_draft.pptx,ppt_gate,v001,done,internal_only,,,,,,PASS,,2026-05-22T18:44:32+08:00,2026-05-22T18:44:32+08:00,,,,,,,,,,,
ART-AUTO-PPT-EDITABILITY,ppt_editability_check,AD-creative/ppt/ppt_editability_check.md,ppt_gate,v001,done,internal_only,,,,,,PASS,,2026-05-22T18:44:32+08:00,2026-05-22T18:44:32+08:00,,,,,,,,,,,
ART-AUTO-REFERENCE-PACK-GATE,reference_pack_gate_report,AD-creative/gates/GATE-AUTO-REFERENCE-PACK-001_report.md,reference_research,v001,done,internal_only,,,,REF-QLO-001;REF-QLO-002;REF-QLO-003;REF-QLO-004;REF-QLO-005,,PARTIAL_PASS,,2026-05-22T19:26:03+08:00,2026-05-22T19:26:03+08:00,,,,,,,,,,,
ART-AUTO-VISUAL-QUALITY-GATE,visual_quality_gate_report,AD-creative/gates/GATE-AUTO-VISUAL-QUALITY-001_report.md,visual_review,v001,done,internal_only,,,,,IMG-QLO-CHAR-001;IMG-QLO-PRODUCT-001;IMG-QLO-OP1-F01;IMG-QLO-OP2-F04,PASS,,2026-05-22T19:26:03+08:00,2026-05-22T19:26:03+08:00,,,,,,,,,,,
ART-AUTO-SEARCH-QUALITY-GATE,search_quality_gate_report,AD-creative/gates/GATE-AUTO-SEARCH-QUALITY-001_report.md,reference_research,v001,done,internal_only,,,,REF-QLO-001;REF-QLO-002;REF-QLO-003;REF-QLO-004;REF-QLO-005,,PARTIAL_PASS,,2026-05-22T19:26:03+08:00,2026-05-22T19:26:03+08:00,,,,,,,,,,,
ART-AUTO-MANUAL-REVIEW-CHECKLIST,manual_review_checklist,AD-creative/delivery/manual_review_checklist.md,final_delivery,v001,done,internal_only,,,,,,PASS,,2026-05-22T19:26:04+08:00,2026-05-22T19:26:04+08:00,,,,,,,,,,,
ART-AUTO-HANDOFF-READINESS-GATE,handoff_readiness_gate_report,AD-creative/gates/GATE-AUTO-HANDOFF-READINESS-001_report.md,final_delivery,v001,done,internal_only,,,,,,PASS,,2026-05-22T19:26:04+08:00,2026-05-22T19:26:04+08:00,,,,,,,,,,,
ART-GOAL-QLO-DUAL-LANE-001,goal_iteration_plan,AD-creative/orchestrator/goal_iterations/GOAL-QLO-DUAL-LANE-001.md,goal_planning,v001,done,internal_only,,,,,,PASS,,2026-05-31T20:59:56+08:00,2026-05-31T20:59:56+08:00,,,,,,,,,,,
